"","X","time","value"
"1",1,1956,284
"2",2,1956.25,213
"3",3,1956.5,227
"4",4,1956.75,308
"5",5,1957,262
"6",6,1957.25,228
"7",7,1957.5,236
"8",8,1957.75,320
"9",9,1958,272
"10",10,1958.25,233
"11",11,1958.5,237
"12",12,1958.75,313
"13",13,1959,261
"14",14,1959.25,227
"15",15,1959.5,250
"16",16,1959.75,314
"17",17,1960,286
"18",18,1960.25,227
"19",19,1960.5,260
"20",20,1960.75,311
"21",21,1961,295
"22",22,1961.25,233
"23",23,1961.5,257
"24",24,1961.75,339
"25",25,1962,279
"26",26,1962.25,250
"27",27,1962.5,270
"28",28,1962.75,346
"29",29,1963,294
"30",30,1963.25,255
"31",31,1963.5,278
"32",32,1963.75,363
"33",33,1964,313
"34",34,1964.25,273
"35",35,1964.5,300
"36",36,1964.75,370
"37",37,1965,331
"38",38,1965.25,288
"39",39,1965.5,306
"40",40,1965.75,386
"41",41,1966,335
"42",42,1966.25,288
"43",43,1966.5,308
"44",44,1966.75,402
"45",45,1967,353
"46",46,1967.25,316
"47",47,1967.5,325
"48",48,1967.75,405
"49",49,1968,393
"50",50,1968.25,319
"51",51,1968.5,327
"52",52,1968.75,442
"53",53,1969,383
"54",54,1969.25,332
"55",55,1969.5,361
"56",56,1969.75,446
"57",57,1970,387
"58",58,1970.25,357
"59",59,1970.5,374
"60",60,1970.75,466
"61",61,1971,410
"62",62,1971.25,370
"63",63,1971.5,379
"64",64,1971.75,487
"65",65,1972,419
"66",66,1972.25,378
"67",67,1972.5,393
"68",68,1972.75,506
"69",69,1973,458
"70",70,1973.25,387
"71",71,1973.5,427
"72",72,1973.75,565
"73",73,1974,465
"74",74,1974.25,445
"75",75,1974.5,450
"76",76,1974.75,556
"77",77,1975,500
"78",78,1975.25,452
"79",79,1975.5,435
"80",80,1975.75,554
"81",81,1976,510
"82",82,1976.25,433
"83",83,1976.5,453
"84",84,1976.75,548
"85",85,1977,486
"86",86,1977.25,453
"87",87,1977.5,457
"88",88,1977.75,566
"89",89,1978,515
"90",90,1978.25,464
"91",91,1978.5,431
"92",92,1978.75,588
"93",93,1979,503
"94",94,1979.25,443
"95",95,1979.5,448
"96",96,1979.75,555
"97",97,1980,513
"98",98,1980.25,427
"99",99,1980.5,473
"100",100,1980.75,526
"101",101,1981,548
"102",102,1981.25,440
"103",103,1981.5,469
"104",104,1981.75,575
"105",105,1982,493
"106",106,1982.25,433
"107",107,1982.5,480
"108",108,1982.75,576
"109",109,1983,475
"110",110,1983.25,405
"111",111,1983.5,435
"112",112,1983.75,535
"113",113,1984,453
"114",114,1984.25,430
"115",115,1984.5,417
"116",116,1984.75,552
"117",117,1985,464
"118",118,1985.25,417
"119",119,1985.5,423
"120",120,1985.75,554
"121",121,1986,459
"122",122,1986.25,428
"123",123,1986.5,429
"124",124,1986.75,534
"125",125,1987,481
"126",126,1987.25,416
"127",127,1987.5,440
"128",128,1987.75,538
"129",129,1988,474
"130",130,1988.25,440
"131",131,1988.5,447
"132",132,1988.75,598
"133",133,1989,467
"134",134,1989.25,439
"135",135,1989.5,446
"136",136,1989.75,567
"137",137,1990,485
"138",138,1990.25,441
"139",139,1990.5,429
"140",140,1990.75,599
"141",141,1991,464
"142",142,1991.25,424
"143",143,1991.5,436
"144",144,1991.75,574
"145",145,1992,443
"146",146,1992.25,410
"147",147,1992.5,420
"148",148,1992.75,532
"149",149,1993,433
"150",150,1993.25,421
"151",151,1993.5,410
"152",152,1993.75,512
"153",153,1994,449
"154",154,1994.25,381
"155",155,1994.5,423
"156",156,1994.75,531
"157",157,1995,426
"158",158,1995.25,408
"159",159,1995.5,416
"160",160,1995.75,520
"161",161,1996,409
"162",162,1996.25,398
"163",163,1996.5,398
"164",164,1996.75,507
"165",165,1997,432
"166",166,1997.25,398
"167",167,1997.5,406
"168",168,1997.75,526
"169",169,1998,428
"170",170,1998.25,397
"171",171,1998.5,403
"172",172,1998.75,517
"173",173,1999,435
"174",174,1999.25,383
"175",175,1999.5,424
"176",176,1999.75,521
"177",177,2000,421
"178",178,2000.25,402
"179",179,2000.5,414
"180",180,2000.75,500
"181",181,2001,451
"182",182,2001.25,380
"183",183,2001.5,416
"184",184,2001.75,492
"185",185,2002,428
"186",186,2002.25,408
"187",187,2002.5,406
"188",188,2002.75,506
"189",189,2003,435
"190",190,2003.25,380
"191",191,2003.5,421
"192",192,2003.75,490
"193",193,2004,435
"194",194,2004.25,390
"195",195,2004.5,412
"196",196,2004.75,454
"197",197,2005,416
"198",198,2005.25,403
"199",199,2005.5,408
"200",200,2005.75,482
"201",201,2006,438
"202",202,2006.25,386
"203",203,2006.5,405
"204",204,2006.75,491
"205",205,2007,427
"206",206,2007.25,383
"207",207,2007.5,394
"208",208,2007.75,473
"209",209,2008,420
"210",210,2008.25,390
"211",211,2008.5,410
"212",212,2008.75,488
"213",213,2009,415
"214",214,2009.25,398
"215",215,2009.5,419
"216",216,2009.75,488
"217",217,2010,414
"218",218,2010.25,374
