numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20240831060000;102060;-20;5;60;4.700000;289.850000;286.150000;79;19880;0;mq;mq;mq;mq;mq;mq;mq;mq;101200;mq;mq;-70;289.750000;mq;291.650000;mq;289.250000;mq;mq;6.700000;8.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;0.200000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20240831060000;102110;-10;5;50;5.200000;289.750000;286.450000;81;23360;0;mq;mq;100;8;1250;mq;mq;mq;101550;mq;mq;-20;289.550000;mq;293.050000;mq;289.950000;mq;mq;7.700000;9.700000;-10;0;mq;mq;mq;0.000000;0.000000;0.000000;0.600000;0.600000;mq;mq;mq;mq;8;mq;1020;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20240831060000;101980;-80;5;60;9.200000;291.050000;289.550000;91;12000;1;2;mq;60;4;800;37;23;10;101870;mq;mq;-170;290.850000;mq;291.450000;mq;mq;mq;mq;13.300000;15.500000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;4;7;800;2;3;2500;mq;mq;mq;mq;mq;mq;
07027;20240831060000;101930;-70;8;40;2.600000;290.150000;286.450000;79;21090;0;mq;mq;100;8;800;mq;mq;mq;101130;mq;mq;-190;289.850000;mq;292.950000;mq;290.650000;mq;mq;4.800000;4.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;690;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07037;20240831060000;101950;-40;6;50;4.600000;288.550000;285.850000;84;19890;0;mq;mq;100;8;450;mq;mq;mq;100090;mq;mq;-120;287.750000;mq;290.650000;mq;289.450000;mq;mq;6.500000;6.500000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;0.200000;1.000000;mq;mq;mq;mq;8;mq;450;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20240831060000;101910;30;3;250;2.200000;289.150000;288.350000;95;5960;0;mq;mq;mq;0;mq;mq;mq;mq;100780;mq;mq;20;288.350000;mq;294.850000;mq;289.350000;mq;mq;3.200000;3.300000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.600000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07110;20240831060000;101880;-70;6;30;3.100000;289.650000;289.350000;98;2980;61;mq;mq;100;8;80;mq;mq;mq;100720;mq;mq;-270;287.450000;mq;290.350000;mq;287.750000;mq;mq;5.500000;5.500000;-10;2;mq;mq;mq;2.400000;2.400000;2.600000;2.600000;2.600000;mq;mq;mq;mq;8;mq;90;mq;8;mq;mq;mq;mq;mq;mq;mq;
07117;20240831060000;101900;-40;7;60;6.600000;291.150000;289.350000;89;10000;2;2;mq;75;6;800;34;20;10;101210;mq;mq;-240;290.750000;mq;291.350000;mq;mq;mq;mq;10.800000;11.500000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;6;6;800;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07130;20240831060000;101800;-70;7;20;2.700000;289.450000;288.150000;92;9460;0;mq;mq;100;8;450;mq;mq;mq;101360;mq;mq;-240;289.250000;mq;290.150000;mq;288.550000;mq;mq;4.600000;4.600000;-10;1;mq;mq;mq;0.000000;0.000000;0.400000;0.400000;6.700000;mq;mq;mq;mq;8;mq;450;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07139;20240831060000;101830;-80;6;50;4.100000;289.350000;287.350000;88;17990;0;mq;mq;100;8;450;mq;mq;mq;100120;mq;mq;-180;288.850000;mq;291.250000;mq;290.750000;mq;mq;6.000000;6.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;2.800000;mq;mq;mq;mq;8;mq;540;mq;mq;mq;mq;mq;mq;mq;mq;mq;
